                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3932,                 1.5067,                 1.5906,                0.78447,                0.67432,                0.74309,                0.46723,                 1.3146,                 1.2736,                 1.5242,               0.007954,               0.007954,               0.007954
                     65,                 1.4017,                 1.5236,                 1.5871,                0.77023,                 0.6562,                0.73575,                0.45919,                 1.3444,                 1.3147,                 1.5354,               0.007921,               0.007921,               0.007921
                     66,                 1.3845,                 1.4833,                 1.5683,                0.77057,                0.68629,                0.76156,                0.48202,                 1.3263,                 1.2518,                 1.5101,               0.007888,               0.007888,               0.007888
                     67,                 1.3824,                  1.482,                 1.5739,                0.78416,                0.68926,                0.75665,                0.48254,                 1.3254,                 1.2434,                 1.5045,               0.007855,               0.007855,               0.007855
                     68,                 1.3641,                  1.478,                 1.5654,                0.78929,                0.65752,                0.75013,                0.47778,                  1.311,                 1.2396,                 1.5046,               0.007822,               0.007822,               0.007822
                     69,                 1.3712,                 1.4717,                 1.5618,                0.76648,                0.65501,                0.73917,                0.47127,                 1.3127,                 1.2742,                 1.5001,               0.007789,               0.007789,               0.007789
                     70,                 1.3822,                 1.4824,                 1.5709,                0.79065,                0.66637,                0.75756,                0.48133,                 1.3108,                  1.214,                 1.5025,               0.007756,               0.007756,               0.007756
                     71,                 1.3778,                 1.4869,                 1.5734,                0.78761,                0.66702,                0.74592,                0.47183,                 1.3344,                 1.2549,                  1.511,               0.007723,               0.007723,               0.007723
                     72,                 1.3811,                 1.4664,                 1.5669,                0.78661,                0.66264,                0.75467,                0.47659,                 1.3149,                 1.2559,                 1.5085,                0.00769,                0.00769,                0.00769
                     73,                 1.3684,                 1.4421,                 1.5593,                0.80895,                0.65431,                0.75409,                0.47838,                 1.3248,                 1.2442,                 1.5075,               0.007657,               0.007657,               0.007657
                     74,                 1.3634,                 1.4587,                 1.5635,                0.79301,                0.68397,                0.75146,                0.48833,                  1.307,                 1.2429,                 1.4945,               0.007624,               0.007624,               0.007624
                     75,                  1.364,                  1.437,                 1.5497,                0.78116,                 0.7014,                0.76379,                0.49206,                 1.2902,                 1.1763,                 1.4893,               0.007591,               0.007591,               0.007591
                     76,                 1.3672,                 1.4503,                 1.5511,                0.77254,                0.68665,                0.74858,                0.48698,                 1.2832,                 1.2189,                 1.4779,               0.007558,               0.007558,               0.007558
                     77,                 1.3551,                 1.4314,                 1.5458,                0.77614,                0.69012,                0.76417,                0.49372,                 1.3012,                 1.2101,                  1.494,               0.007525,               0.007525,               0.007525
                     78,                 1.3647,                 1.4375,                  1.552,                0.76718,                0.71364,                0.77189,                0.49691,                 1.2889,                 1.2044,                 1.4803,               0.007492,               0.007492,               0.007492
                     79,                 1.3438,                 1.4299,                  1.541,                 0.7911,                0.68686,                0.75735,                0.48263,                 1.2996,                 1.2153,                 1.4912,               0.007459,               0.007459,               0.007459
                     80,                 1.3535,                 1.4192,                 1.5413,                0.81342,                0.67331,                0.75899,                0.48177,                  1.292,                 1.1871,                 1.4763,               0.007426,               0.007426,               0.007426
                     81,                 1.3318,                 1.3929,                 1.5262,                0.81136,                0.65653,                0.76242,                0.48829,                 1.2939,                 1.1744,                 1.4778,               0.007393,               0.007393,               0.007393
                     82,                 1.3488,                 1.4125,                 1.5294,                 0.7778,                0.69141,                0.77769,                  0.513,                 1.2535,                 1.1522,                 1.4506,                0.00736,                0.00736,                0.00736
                     83,                 1.3317,                 1.3978,                 1.5187,                0.78785,                0.68674,                0.78446,                0.49891,                 1.2888,                 1.1862,                 1.4523,               0.007327,               0.007327,               0.007327
                     84,                 1.3422,                  1.399,                 1.5285,                0.83915,                0.68424,                 0.7915,                0.51591,                 1.2645,                 1.1484,                 1.4432,               0.007294,               0.007294,               0.007294
                     85,                 1.3329,                 1.3893,                 1.5237,                0.80261,                0.70161,                0.78487,                0.50185,                 1.2674,                  1.161,                 1.4571,               0.007261,               0.007261,               0.007261
                     86,                 1.3333,                 1.3858,                 1.5229,                0.79692,                0.70449,                0.78825,                0.51027,                 1.2707,                 1.1426,                 1.4537,               0.007228,               0.007228,               0.007228
                     87,                 1.3323,                 1.3999,                 1.5304,                0.85577,                0.66724,                0.78444,                0.50373,                 1.2653,                  1.162,                 1.4381,               0.007195,               0.007195,               0.007195
                     88,                 1.3326,                 1.3764,                 1.5271,                0.79513,                0.70795,                0.77845,                0.50042,                 1.2712,                 1.1397,                 1.4502,               0.007162,               0.007162,               0.007162
                     89,                 1.3387,                 1.3797,                 1.5239,                0.83023,                0.66475,                0.78598,                 0.5129,                   1.27,                 1.1439,                  1.452,               0.007129,               0.007129,               0.007129
                     90,                 1.3183,                 1.3562,                 1.5045,                0.82449,                0.71179,                0.80407,                0.51552,                 1.2674,                 1.1323,                 1.4562,               0.007096,               0.007096,               0.007096
                     91,                   1.33,                 1.3741,                 1.5147,                0.77475,                0.70805,                0.78588,                0.50297,                 1.2705,                 1.1482,                 1.4564,               0.007063,               0.007063,               0.007063
                     92,                 1.3269,                 1.3532,                 1.5143,                0.78064,                0.73136,                0.79815,                0.51199,                 1.2622,                 1.1291,                  1.443,                0.00703,                0.00703,                0.00703
                     93,                  1.317,                 1.3435,                 1.5064,                0.80106,                0.68391,                0.77861,                0.51326,                  1.256,                 1.1158,                 1.4438,               0.006997,               0.006997,               0.006997
