                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4563,                 1.5982,                 1.6518,                0.74523,                0.63503,                0.72458,                0.44505,                 1.4058,                 1.3839,                  1.623,               0.008086,               0.008086,               0.008086
                     61,                 1.4439,                 1.5999,                 1.6524,                0.71641,                0.66953,                0.72667,                0.44024,                 1.3842,                 1.3856,                 1.5925,               0.008053,               0.008053,               0.008053
                     62,                 1.4339,                 1.5856,                 1.6267,                0.73762,                0.63995,                0.72573,                 0.4536,                 1.3594,                 1.3432,                 1.5861,                0.00802,                0.00802,                0.00802
                     63,                 1.4269,                 1.5516,                 1.6265,                0.75561,                0.65084,                0.73575,                0.43851,                 1.3848,                 1.3455,                   1.59,               0.007987,               0.007987,               0.007987
                     64,                 1.4271,                 1.5679,                 1.6281,                0.72439,                0.67494,                0.73267,                0.45495,                  1.366,                 1.3236,                  1.589,               0.007954,               0.007954,               0.007954
                     65,                 1.4274,                 1.5404,                 1.6149,                0.72024,                0.66837,                 0.7451,                0.46522,                 1.3752,                 1.3135,                 1.5793,               0.007921,               0.007921,               0.007921
                     66,                 1.4082,                 1.5312,                 1.6097,                0.77394,                0.66047,                  0.745,                0.46852,                 1.3667,                 1.2924,                 1.5746,               0.007888,               0.007888,               0.007888
                     67,                 1.4091,                 1.5427,                 1.6125,                0.75306,                0.64654,                0.73813,                0.45223,                 1.3579,                 1.3016,                 1.5498,               0.007855,               0.007855,               0.007855
                     68,                  1.409,                 1.5393,                 1.6083,                0.74255,                0.68253,                 0.7537,                0.47248,                 1.3283,                 1.2745,                 1.5408,               0.007822,               0.007822,               0.007822
                     69,                 1.4084,                 1.5226,                  1.602,                0.76361,                0.66863,                0.75654,                0.47146,                  1.336,                 1.2721,                 1.5566,               0.007789,               0.007789,               0.007789
                     70,                  1.396,                 1.5147,                 1.5943,                0.78376,                   0.67,                0.77437,                0.47829,                 1.3402,                 1.2316,                 1.5366,               0.007756,               0.007756,               0.007756
                     71,                 1.4007,                 1.5292,                 1.6017,                0.78961,                0.65991,                0.76233,                0.47115,                 1.3467,                 1.2461,                 1.5525,               0.007723,               0.007723,               0.007723
                     72,                 1.3968,                 1.5121,                 1.5949,                0.77379,                0.67637,                0.75337,                0.46895,                 1.3292,                 1.2315,                 1.5386,                0.00769,                0.00769,                0.00769
                     73,                 1.3907,                  1.509,                 1.5997,                0.79217,                0.64537,                0.76267,                0.47776,                  1.333,                 1.2487,                 1.5506,               0.007657,               0.007657,               0.007657
                     74,                 1.3959,                 1.5097,                 1.5943,                0.76439,                0.69646,                0.77456,                0.49477,                 1.3159,                 1.2335,                 1.5369,               0.007624,               0.007624,               0.007624
                     75,                 1.3837,                 1.5066,                 1.5946,                0.81572,                0.65914,                 0.7795,                0.49323,                 1.3047,                 1.2189,                 1.5193,               0.007591,               0.007591,               0.007591
                     76,                 1.3885,                 1.4863,                 1.5791,                 0.7944,                0.69839,                0.78746,                0.49369,                 1.3096,                 1.2307,                 1.5152,               0.007558,               0.007558,               0.007558
                     77,                 1.3653,                 1.4743,                 1.5722,                0.78205,                0.69614,                0.77314,                0.48863,                 1.3035,                 1.1907,                 1.5223,               0.007525,               0.007525,               0.007525
                     78,                 1.3758,                  1.462,                 1.5724,                0.78479,                0.68566,                0.77654,                0.49095,                 1.3105,                 1.2138,                 1.5155,               0.007492,               0.007492,               0.007492
                     79,                 1.3782,                 1.4816,                 1.5716,                 0.7704,                0.69834,                0.77361,                0.49274,                 1.3094,                 1.2033,                 1.5144,               0.007459,               0.007459,               0.007459
                     80,                 1.3751,                  1.472,                 1.5707,                 0.7875,                0.67222,                0.77772,                0.49225,                 1.3008,                 1.2077,                 1.5152,               0.007426,               0.007426,               0.007426
                     81,                   1.38,                 1.4589,                 1.5716,                0.82541,                0.68909,                0.79656,                0.50394,                 1.2924,                  1.196,                  1.503,               0.007393,               0.007393,               0.007393
                     82,                 1.3624,                 1.4482,                  1.563,                0.77869,                0.72155,                0.79343,                0.51168,                 1.3112,                 1.1642,                 1.5083,                0.00736,                0.00736,                0.00736
                     83,                 1.3555,                 1.4332,                 1.5502,                0.79183,                0.70837,                0.78909,                0.50828,                 1.2981,                  1.185,                 1.4996,               0.007327,               0.007327,               0.007327
                     84,                 1.3585,                 1.4585,                  1.564,                0.80408,                0.69948,                0.79589,                0.51242,                 1.2832,                 1.1697,                 1.4982,               0.007294,               0.007294,               0.007294
                     85,                 1.3512,                 1.4252,                  1.549,                0.78454,                0.73155,                0.80428,                0.51535,                 1.2847,                  1.146,                 1.4904,               0.007261,               0.007261,               0.007261
